AT,RH,WS,WD,RF,PM10,NO,NOx,SO2,NO2,PM 2.5
20.59,8.64,1.59,93.59,0,171.16,9.72,27.92,15.37,37.59,93.21
20.48,28.95,1.18,100.54,0,205.03,17.85,36.43,16.68,41.1,111.8
22.33,20.72,1.3,156.47,0,236.99,49.23,66.29,16.21,49.18,100.43
25.53,0.5,1.81,229.2,0,283.68,24.22,46.3,23.63,49.92,102.41
23.59,10.18,1.84,104.45,0,190.26,4.02,14.97,15.05,21.98,104.62
22.73,0.51,2.36,88.71,0,109.77,1.95,12.64,13.56,20.77,31.48
23.27,0.51,2.38,73.23,0,139.93,1.85,15.7,11.95,26.69,54.7
23.65,0.78,2.06,78.79,0,123.81,3.77,16.72,17.48,25.65,46.88
22.23,0.82,2.26,87.4,0,146.67,3.65,17.13,13.22,26.61,66.78
22.56,20.67,1.77,81.27,0,158.11,5.67,20.51,14.56,29.86,73.63
23.59,3.38,1.51,97.14,0,168.25,17.76,33.75,15.2,36.23,72.66
25.12,24.49,1.08,158.68,0,277,71.18,84.07,18.18,48.95,131.49
27.04,29.12,1.28,125.83,0,202.45,28.27,47.75,13.99,46.46,85.12
28.73,27.75,1.24,168.63,0,242.6,28.58,47.99,17.51,46.43,99.46
28.79,0.51,2.6,95.12,0,168.3,5.67,16.29,13.31,21.93,48.03
26.02,0.5,2.09,77.68,0,155.1,2.17,16.53,12.99,27.74,44.33
25.7,8.18,1.31,127.44,0,235.38,30.66,49.08,18.69,45.28,97.22
26.72,0.54,1.41,125.15,0,215.73,31.72,48.58,13.52,42.7,85.62
28.12,13.98,1.01,162.97,0,271.66,23.41,46.62,22.26,51.78,118.2
29.29,0.58,1.12,187.65,0,247.32,33.99,55.26,27.27,51.8,126.81
30.75,0.51,1.31,147.77,0,341.56,12.44,32.06,24.66,41.2,116.17
29.15,8.86,1.68,225.93,0.02,353.85,9.06,26.06,19.69,35.1,162.54
28.01,0.53,1.4,199.65,0,302.37,6.84,28.33,19.13,42.77,93.42
28.8,0.51,1.11,205.01,0,272.94,19.02,39.14,22.09,44.42,105.86
30.09,12.63,1.56,107.2,0,225.29,13.14,29.53,15.49,35.36,90.85
30.62,0.5,1.53,111.54,0,194.06,8.35,23.98,16.26,32.3,64.85
29.44,0.51,2.19,121.44,0,241.04,5.06,17.47,14.22,25.1,64
29.8,0.51,2.61,100.25,0,194.06,5.83,17.44,13.78,23.86,56.16
