PM 2.5,Predicted Value
61.92,60.22860000000001
135.69,170.52290000000002
67.04,46.32079999999996
67.08,70.90640000000003
339.62,307.1547000000001
47.87,50.0762
55.05,39.5291
220.14,213.79399999999998
37.41,34.380800000000015
57.38,80.94160000000001
74.3,89.84109999999997
66.78,58.985
91.2,151.41429999999994
72.92,73.01230000000002
198.49,178.662
48.02,45.31830000000003
51.5,53.35380000000001
10.52,17.3201
82.55,70.51859999999999
69.83,55.13840000000004
107.85,124.29840000000002
12.3,16.5129
96.71,84.12510000000002
98.48,104.16189999999999
282.34,232.9098000000001
40.35,36.88060000000001
96.42,91.74740000000006
175.21,170.53479999999985
320.38,337.54409999999973
40.74,46.384599999999985
114.44,91.17190000000001
77.01,86.38010000000004
62.32,59.034000000000034
220.88,233.44589999999994
303.08,281.0567
101.29,77.6027
67.72,77.92209999999999
264.13,191.6369999999999
118.46,110.3969
81.78,77.20790000000002
38.58,37.97709999999999
255.29,252.44559999999998
122.17,101.0747
47.46,62.26039999999998
132.77,142.05489999999998
169.41,169.9556999999998
40.94,58.36679999999998
81.88,89.96510000000002
308.49,322.6868999999996
152.07,128.8981
75.51,75.83280000000005
38.75,43.704800000000006
64.26,88.431
31.12,30.38059999999999
128.75,151.6001
91.58,80.2502
100.43,105.69629999999998
101.28,115.60440000000004
96.65,95.81629999999997
216.4,200.4216000000001
93.25,80.05630000000001
151.67,157.62919999999994
68.43,78.97220000000002
69.52,65.97299999999996
290.11,222.69650000000013
9.79,23.586199999999998
87.21,83.0694
20.12,32.15889999999999
160.25,198.12829999999997
43.51,45.360200000000006
22.45,26.429099999999995
94.2,106.5176
53.12,81.49859999999997
33.51,34.90180000000001
239.01,251.00529999999992
209.55,214.6164000000001
81.04,83.85819999999998
99.79,130.76169999999996
61.42,64.57510000000002
31.56,43.582200000000014
244.27,257.20599999999996
37.03,26.34069999999999
114.46,89.27590000000001
44.0,35.5336
26.96,30.9086
92.45,76.6594
27.36,33.57929999999997
220.74,213.83430000000027
35.04,37.005500000000005
120.07,130.17919999999995
194.89,139.06439999999998
136.19,118.40360000000001
77.04,58.99790000000001
63.31,52.6506
22.06,38.68430000000001
63.2,77.15839999999999
193.57,207.00170000000006
39.62,41.37899999999998
69.45,97.66480000000003
76.49,85.03340000000004
151.46,125.59829999999998
98.5,116.81339999999996
304.15,348.3836999999996
65.32,65.6526
165.81,79.59410000000004
83.25,72.28089999999997
248.16,241.53110000000004
183.88,194.1655000000001
65.6,66.23309999999998
159.52,94.07440000000003
42.29,41.18679999999999
42.55,49.000700000000016
204.05,200.77149999999992
232.46,214.88979999999992
70.11,65.15090000000001
112.83,148.9498999999998
134.88,106.671
22.88,27.93379999999999
72.13,70.56050000000003
22.98,31.210099999999994
29.33,40.5728
66.64,56.6246
155.28,126.52589999999998
353.21,422.2888999999996
192.46,163.1367999999999
69.79,60.96789999999999
42.67,41.709799999999994
41.3,34.48689999999997
100.65,114.06769999999999
99.77,129.40850000000017
31.08,32.8575
22.18,38.374500000000005
58.2,61.41770000000006
189.92,166.75770000000003
230.18,271.24449999999996
18.29,26.050899999999988
71.21,81.2445
176.3,194.3328000000001
86.34,82.0868
38.14,31.369599999999988
76.67,71.63690000000001
104.1,111.25459999999994
47.99,44.8622
116.58,104.17839999999998
30.42,31.815099999999997
80.82,85.59180000000003
113.35,86.27890000000004
49.0,54.38179999999999
122.0,102.60029999999999
178.2,190.92919999999998
107.82,89.15669999999993
25.38,27.976399999999998
177.65,145.8186
75.8,93.87930000000001
332.49,355.3474999999999
72.66,78.14940000000001
144.58,171.46379999999996
229.24,233.7999000000001
229.6,215.28780000000003
43.13,47.92390000000001
47.21,31.373599999999993
66.14,61.536700000000025
352.91,229.75359999999998
94.54,103.62479999999998
41.99,40.211299999999994
98.42,90.8217
34.93,39.999
124.04,122.82959999999994
194.07,157.50060000000002
133.61,142.1458
100.69,100.0995
78.36,85.99959999999997
15.08,36.00059999999999
306.96,193.6603999999999
65.41,92.86930000000002
81.12,98.85560000000005
35.25,39.775
316.14,334.7096000000002
39.04,39.389800000000015
37.43,50.213099999999976
20.41,28.89969999999999
44.29,52.68939999999997
175.35,169.46959999999999
191.98,219.4235999999999
67.29,64.54029999999999
232.79,225.88140000000004
11.82,13.300000000000006
117.82,119.37700000000001
29.92,36.000299999999996
118.34,105.04969999999997
57.27,59.22259999999999
60.06,73.343
42.08,87.66890000000001
158.46,162.68260000000004
63.38,72.67639999999999
240.9,236.72109999999986
102.22,151.42490000000006
81.46,75.1638
148.04,134.79639999999995
91.4,108.5914
111.58,114.7199
112.0,97.42650000000002
70.33,68.14110000000001
71.27,67.50150000000002
60.61,53.5228
131.86,100.50849999999998
79.38,77.67539999999995
180.57,165.73119999999994
57.12,68.54799999999999
26.17,32.90470000000002
253.77,258.82179999999994
183.71,146.51849999999996
233.6,255.9886999999999
225.83,215.08410000000006
28.94,47.6739
39.46,48.17820000000002
281.46,277.6123999999999
161.9,162.2397999999999
61.04,88.05009999999997
53.69,76.8977
80.95,79.15789999999998
102.01,141.93289999999993
43.78,40.523999999999994
48.78,52.96449999999999
65.75,65.89049999999999
56.16,51.828199999999995
33.82,27.941
117.46,107.73760000000001
224.17,243.1677
113.48,109.83850000000002
80.12,82.40830000000001
120.63,212.48570000000004
101.02,88.29860000000002
46.02,50.2847
62.68,73.43780000000002
28.52,32.326699999999995
218.05,240.0043
51.43,58.07069999999998
145.45,139.47969999999998
130.41,129.08269999999993
42.46,45.21810000000002
69.95,72.97790000000002
37.21,34.930699999999995
95.72,74.79030000000002
53.42,58.293899999999994
182.02,151.16979999999992
78.42,117.13929999999999
198.26,225.55450000000002
50.5,39.67409999999998
194.11,191.74280000000016
49.26,65.77770000000001
271.01,247.78759999999994
88.73,118.71410000000006
46.15,55.45409999999998
200.14,167.77830000000006
65.14,53.5131
503.82,462.49949999999984
16.19,15.792799999999998
166.28,128.26019999999994
83.58,80.98870000000002
15.38,18.708799999999982
33.26,40.02990000000001
62.58,52.956100000000035
56.67,48.71870000000004
45.29,42.6927
71.35,77.46119999999999
